r(m), theta(rad), phi(rad), E(Re), E(Im)
3000.000000, 0.000000, 3.141593, 0.000014, 0.000000
3000.000000, 3.141593, 3.110177, 0.000014, 0.000000
3000.000000, 3.141593, 3.078761, 0.000015, 0.000000
3000.000000, 3.141593, 3.047345, 0.000013, 0.000000
3000.000000, 3.141593, 3.015929, 0.000011, 0.000000
3000.000000, 3.141593, 2.984513, 0.000011, 0.000000
3000.000000, 3.141593, 2.953097, 0.000011, 0.000000
3000.000000, 3.141593, 2.921681, 0.000011, 0.000000
3000.000000, 3.141593, 2.890265, 0.000011, 0.000000
3000.000000, 3.141593, 2.858849, 0.000011, 0.000000
3000.000000, 3.141593, 2.827433, 0.000011, 0.000000
3000.000000, 3.141593, 2.796017, 0.000011, 0.000000
3000.000000, 3.141593, 2.764602, 0.000010, 0.000000
3000.000000, 3.141593, 2.733186, 0.000010, 0.000000
3000.000000, 3.141593, 2.701770, 0.000011, 0.000000
3000.000000, 3.141593, 2.670354, 0.000011, 0.000000
3000.000000, 3.141593, 2.638938, 0.000010, 0.000000
3000.000000, 3.141593, 2.607522, 0.000010, 0.000000
3000.000000, 3.141593, 2.576106, 0.000009, 0.000000
3000.000000, 3.141593, 2.544690, 0.000009, 0.000000
3000.000000, 3.141593, 2.513274, 0.000009, 0.000000
3000.000000, 3.141593, 2.481858, 0.000009, 0.000000
3000.000000, 3.141593, 2.450442, 0.000010, 0.000000
3000.000000, 3.141593, 2.419026, 0.000009, 0.000000
3000.000000, 3.141593, 2.387610, 0.000008, 0.000000
3000.000000, 3.141593, 2.356194, 0.000008, 0.000000
3000.000000, 3.141593, 2.324779, 0.000008, 0.000000
3000.000000, 3.141593, 2.293363, 0.000008, 0.000000
3000.000000, 3.141593, 2.261947, 0.000008, 0.000000
3000.000000, 3.141593, 2.230531, 0.000009, 0.000000
3000.000000, 3.141593, 2.199115, 0.000009, 0.000000
3000.000000, 3.141593, 2.167699, 0.000009, 0.000000
3000.000000, 3.141593, 2.136283, 0.000009, 0.000000
3000.000000, 3.141593, 2.104867, 0.000008, 0.000000
3000.000000, 3.141593, 2.073451, 0.000008, 0.000000
3000.000000, 3.141593, 2.042035, 0.000008, 0.000000
