r(m), theta(rad), phi(rad), E(Re), E(Im), H(Re), H(Im)
0.300000, 0.000000, 3.141593, 0.029329, 0.045003, 0.000068, 0.000116
0.300000, 3.141593, 3.110177, 0.041883, 0.028601, 0.000119, 0.000074
0.300000, 3.141593, 3.078761, 0.042876, 0.040930, 0.000122, 0.000108
0.300000, 3.141593, 3.047345, 0.022361, 0.058620, 0.000050, 0.000154
0.300000, 3.141593, 3.015929, 0.056770, 0.002723, 0.000142, 0.000006
0.300000, 3.141593, 2.984513, 0.014715, 0.048185, 0.000029, 0.000130
0.300000, 3.141593, 2.953097, 0.047480, 0.025408, 0.000132, 0.000069
0.300000, 3.141593, 2.921681, 0.048451, 0.038520, 0.000134, 0.000100
0.300000, 3.141593, 2.890265, 0.009601, 0.063233, 0.000018, 0.000166
0.300000, 3.141593, 2.858849, 0.052610, 0.022696, 0.000136, 0.000057
0.300000, 3.141593, 2.827433, 0.034656, 0.031827, 0.000089, 0.000088
0.300000, 3.141593, 2.796017, 0.019181, 0.038152, 0.000053, 0.000106
0.300000, 3.141593, 2.764602, 0.046285, 0.007157, 0.000126, 0.000010
0.300000, 3.141593, 2.733186, 0.019289, 0.048135, 0.000054, 0.000121
0.300000, 3.141593, 2.701770, 0.030888, 0.042972, 0.000077, 0.000108
0.300000, 3.141593, 2.670354, 0.051087, 0.004515, 0.000132, 0.000015
0.300000, 3.141593, 2.638938, 0.022276, 0.046010, 0.000056, 0.000126
0.300000, 3.141593, 2.607522, 0.029096, 0.045922, 0.000079, 0.000126
0.300000, 3.141593, 2.576106, 0.058249, 0.005491, 0.000156, 0.000018
0.300000, 3.141593, 2.544690, 0.043542, 0.041429, 0.000116, 0.000105
0.300000, 3.141593, 2.513274, 0.001575, 0.057774, 0.000001, 0.000149
0.300000, 3.141593, 2.481858, 0.039614, 0.034767, 0.000104, 0.000088
0.300000, 3.141593, 2.450442, 0.046898, 0.008259, 0.000124, 0.000025
0.300000, 3.141593, 2.419026, 0.020973, 0.040074, 0.000056, 0.000110
0.300000, 3.141593, 2.387610, 0.018075, 0.042215, 0.000048, 0.000115
0.300000, 3.141593, 2.356194, 0.044825, 0.016508, 0.000119, 0.000047
0.300000, 3.141593, 2.324779, 0.044724, 0.019633, 0.000118, 0.000049
0.300000, 3.141593, 2.293363, 0.020133, 0.044212, 0.000053, 0.000114
0.300000, 3.141593, 2.261947, 0.014143, 0.045544, 0.000038, 0.000118
0.300000, 3.141593, 2.230531, 0.040648, 0.024493, 0.000109, 0.000062
0.300000, 3.141593, 2.199115, 0.048048, 0.008553, 0.000129, 0.000024
0.300000, 3.141593, 2.167699, 0.034769, 0.038196, 0.000094, 0.000104
0.300000, 3.141593, 2.136283, 0.007760, 0.054579, 0.000022, 0.000147
0.300000, 3.141593, 2.104867, 0.023478, 0.053295, 0.000060, 0.000144
0.300000, 3.141593, 2.073451, 0.047789, 0.036773, 0.000125, 0.000100
0.300000, 3.141593, 2.042035, 0.059775, 0.012361, 0.000157, 0.000033
0.300000, 3.141593, 2.010619, 0.058015, 0.017240, 0.000152, 0.000038
0.300000, 3.141593, 1.979203, 0.044877, 0.038356, 0.000118, 0.000095
0.300000, 3.141593, 1.947787, 0.024799, 0.051304, 0.000065, 0.000130
0.300000, 3.141593, 1.916372, 0.002635, 0.054750, 0.000007, 0.000139
0.300000, 3.141593, 1.884956, 0.017843, 0.049837, 0.000047, 0.000126
0.300000, 3.141593, 1.853540, 0.033928, 0.038973, 0.000090, 0.000097
0.300000, 3.141593, 1.822124, 0.044673, 0.025048, 0.000118, 0.000058
0.300000, 3.141593, 1.790708, 0.050245, 0.011737, 0.000133, 0.000018
0.300000, 3.141593, 1.759292, 0.051587, 0.010797, 0.000136, 0.000021
0.300000, 3.141593, 1.727876, 0.050008, 0.021221, 0.000132, 0.000055
0.300000, 3.141593, 1.696460, 0.046867, 0.031009, 0.000124, 0.000083
0.300000, 3.141593, 1.665044, 0.043379, 0.038603, 0.000115, 0.000103
0.300000, 3.141593, 1.633628, 0.040513, 0.043881, 0.000108, 0.000117
0.300000, 3.141593, 1.602212, 0.038953, 0.046938, 0.000104, 0.000126
0.300000, 3.141593, 1.570796, 0.039092, 0.047854, 0.000104, 0.000128
